Source,Target,Weight
31,25,133
31,15,52
31,19,4
31,0,148
31,16,15
31,1,55
31,8,8
31,26,68
31,30,57
31,33,4
31,28,128
31,17,38
31,3,138
31,13,108
31,20,62
31,32,1
31,2,228
31,34,5
31,14,85
6,5,231
6,23,140
6,19,9
6,24,225
6,22,240
6,7,413
6,8,18
6,10,188
6,9,230
6,12,156
6,33,13
6,18,214
6,21,79
6,4,104
6,32,3
6,29,23
6,27,110
6,11,190
6,34,3
25,15,110
25,19,6
25,0,384
25,16,40
25,1,126
25,8,9
25,26,182
25,30,150
25,33,10
25,28,266
25,17,107
25,3,318
25,13,299
25,20,134
25,32,1
25,2,519
25,34,6
25,14,214
5,23,130
5,19,7
5,24,218
5,22,247
5,7,399
5,8,15
5,10,156
5,9,204
5,12,133
5,33,6
5,18,191
5,21,74
5,4,84
5,32,5
5,29,18
5,27,102
5,11,185
23,19,3
23,24,154
23,22,165
23,7,232
23,8,8
23,10,97
23,9,129
23,12,86
23,33,10
23,18,131
23,21,34
23,4,65
23,32,3
23,29,16
23,27,74
23,11,121
23,34,2
15,19,1
15,0,146
15,16,23
15,1,47
15,8,2
15,26,62
15,30,71
15,33,2
15,28,109
15,17,32
15,3,105
15,13,119
15,20,73
15,2,188
15,34,3
15,14,71
19,24,1
19,0,2
19,22,7
19,1,1
19,7,9
19,8,3
19,10,5
19,30,1
19,9,5
19,12,5
19,33,1
19,28,3
19,18,4
19,17,3
19,21,3
19,3,1
19,13,5
19,20,6
19,4,1
19,32,1
19,29,1
19,2,4
19,27,3
19,11,1
19,34,1
19,14,3
24,22,287
24,7,436
24,8,7
24,10,173
24,9,243
24,12,165
24,33,7
24,18,199
24,21,63
24,4,98
24,32,1
24,29,12
24,27,98
24,11,192
24,34,3
0,16,37
0,1,146
0,8,15
0,26,198
0,30,136
0,33,10
0,28,364
0,17,115
0,3,395
0,13,316
0,20,171
0,32,6
0,2,653
0,34,12
0,14,260
22,7,569
22,8,13
22,10,192
22,9,324
22,12,167
22,33,8
22,18,279
22,21,86
22,4,114
22,32,5
22,29,19
22,27,105
22,11,246
22,34,2
16,1,9
16,8,2
16,26,18
16,30,21
16,33,1
16,28,26
16,17,9
16,3,26
16,13,41
16,20,33
16,2,49
16,34,2
16,14,20
1,8,4
1,26,68
1,30,60
1,33,5
1,28,108
1,17,33
1,3,124
1,13,130
1,20,64
1,32,2
1,2,233
1,34,6
1,14,65
7,8,26
7,10,315
7,9,451
7,12,275
7,33,12
7,18,435
7,21,127
7,4,156
7,32,7
7,29,23
7,27,181
7,11,380
7,34,2
8,8,4
8,26,12
8,10,13
8,30,4
8,9,13
8,12,8
8,33,7
8,28,13
8,18,15
8,17,3
8,21,5
8,3,14
8,13,8
8,20,6
8,4,8
8,32,3
8,29,1
8,2,20
8,27,2
8,11,14
8,34,8
8,14,9
26,30,82
26,33,5
26,28,145
26,17,60
26,3,179
26,13,163
26,20,88
26,32,2
26,2,276
26,34,6
26,14,107
10,9,187
10,12,107
10,33,8
10,18,153
10,21,64
10,4,101
10,32,4
10,29,17
10,27,81
10,11,142
10,34,2
30,33,3
30,28,132
30,17,39
30,3,132
30,13,152
30,20,92
30,32,1
30,2,232
30,34,3
30,14,87
9,12,159
9,33,11
9,18,225
9,21,83
9,4,103
9,32,2
9,29,18
9,27,95
9,11,211
9,34,1
12,33,4
12,18,116
12,21,38
12,4,70
12,32,2
12,29,7
12,27,94
12,11,104
12,34,1
33,33,2
33,28,7
33,18,8
33,17,1
33,21,3
33,3,10
33,13,7
33,20,4
33,4,3
33,32,1
33,29,2
33,2,12
33,27,2
33,11,6
33,34,4
33,14,4
28,17,88
28,3,289
28,13,268
28,20,149
28,2,518
28,34,4
28,14,197
18,21,57
18,4,95
18,32,4
18,29,12
18,27,78
18,11,185
18,34,2
17,3,117
17,13,108
17,20,64
17,32,1
17,2,168
17,34,2
17,14,118
21,4,21
21,32,1
21,29,7
21,27,27
21,11,55
21,34,1
3,13,264
3,20,167
3,32,2
3,2,544
3,34,7
3,14,179
13,20,187
13,32,2
13,2,447
13,34,2
13,14,212
20,32,1
20,2,270
20,34,5
20,14,118
4,29,13
4,27,53
4,11,95
4,34,1
32,2,6
32,27,2
32,11,5
32,34,4
32,14,2
29,27,8
29,11,18
2,34,12
2,14,366
27,11,80
11,34,1
34,34,4
34,14,3
